POPULATION,PLOT #,TREE TAG,SPECIES,INDIVIDUAL,T-0 (2010-10-16),T-1 (2010-11-20),T-2 (2010-12-11),T-3 (2011-01-22),T-4 (2011-02-18),T-5 (2011-03-05),T-6 (2011-04-16),T-7 (2011-05-07),T-8 (2011-06-01),T-9 (2011-07-31),T-10 (2011-08-25),T-11 (2011-09-17),T-12 (2011-10-15),T-13 (2011-11-17),T-14 (2011-12-10),T-15 (2012-01-18),T-16 (2012-02-18),T-17 (2012-03-18),T-18 (2012-04-15),T-19 (2012-05-15),T-20 (2012-06-15),T-21 (2012-07-15),T-22 (2012-08-25),T-23 (2012-09-15),T-24 (2012-10-15)
1,1,1,Lepanthes caritensis,1,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,2,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,3,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,4,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,5,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,6,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,7,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,8,Adult,Adult,Reproductive,Reproductive,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,9,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,10,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
